Date,y1,y2,y3
1/1/1960,3.99,4.35,4.95
1/2/1960,3.97,3.96,4.45
1/3/1960,3.84,3.31,3.68
1/4/1960,3.92,3.23,3.83
1/5/1960,3.85,3.29,4.01
1/6/1960,3.32,2.46,3.1
1/7/1960,3.23,2.3,3.03
1/8/1960,2.98,2.3,2.82
1/9/1960,2.6,2.48,2.86
1/10/1960,2.47,2.3,2.92
1/11/1960,2.44,2.37,2.87
1/12/1960,1.98,2.25,2.64
1/1/1961,1.45,2.24,2.63
1/2/1961,2.54,2.42,2.75
1/3/1961,2.02,2.39,2.76
1/4/1961,1.49,2.29,2.74
1/5/1961,1.98,2.29,2.72
1/6/1961,1.73,2.33,2.8
1/7/1961,1.17,2.24,2.79
1/8/1961,2,2.39,2.91
1/9/1961,1.88,2.28,2.88
1/10/1961,2.26,2.3,2.9
1/11/1961,2.61,2.48,2.9
1/12/1961,2.33,2.6,2.97
1/1/1962,2.15,2.72,3.19
1/2/1962,2.37,2.73,3.21
1/3/1962,2.85,2.72,2.98
1/4/1962,2.78,2.73,2.9
1/5/1962,2.36,2.69,2.91
1/6/1962,2.68,2.73,2.89
1/7/1962,2.71,2.92,3.17
1/8/1962,2.93,2.82,3.1
1/9/1962,2.9,2.78,2.99
1/10/1962,2.9,2.74,2.9
1/11/1962,2.94,2.83,2.94
1/12/1962,2.93,2.87,2.94
1/1/1963,2.92,2.91,3
1/2/1963,3,2.92,3
1/3/1963,2.98,2.89,2.97
1/4/1963,2.9,2.9,3.03
1/5/1963,3,2.93,3.06
1/6/1963,2.99,2.99,3.11
1/7/1963,3.02,3.18,3.4
1/8/1963,3.49,3.32,3.5
1/9/1963,3.48,3.38,3.57
1/10/1963,3.5,3.45,3.61
1/11/1963,3.48,3.52,3.67
1/12/1963,3.38,3.52,3.69
1/1/1964,3.48,3.52,3.68
1/2/1964,3.48,3.53,3.71
1/3/1964,3.43,3.54,3.78
1/4/1964,3.47,3.47,3.75
1/5/1964,3.5,3.48,3.71
1/6/1964,3.5,3.48,3.7
1/7/1964,3.42,3.46,3.64
1/8/1964,3.5,3.5,3.67
1/9/1964,3.45,3.53,3.73
1/10/1964,3.36,3.57,3.79
1/11/1964,3.52,3.64,3.86
1/12/1964,3.85,3.84,3.96
1/1/1965,3.9,3.81,3.91
1/2/1965,3.98,3.93,4
1/3/1965,4.04,3.93,4.02
1/4/1965,4.09,3.93,4
1/5/1965,4.1,3.89,3.96
1/6/1965,4.04,3.8,3.89
1/7/1965,4.09,3.84,3.89
1/8/1965,4.12,3.84,3.96
1/9/1965,4.01,3.92,4.09
1/10/1965,4.08,4.03,4.16
1/11/1965,4.1,4.09,4.23
1/12/1965,4.32,4.38,4.56
1/1/1966,4.42,4.59,4.69
1/2/1966,4.6,4.65,4.81
1/3/1966,4.65,4.59,4.81
1/4/1966,4.67,4.62,4.76
1/5/1966,4.9,4.64,4.85
1/6/1966,5.17,4.5,4.78
1/7/1966,5.3,4.8,4.94
1/8/1966,5.53,4.96,5.34
1/9/1966,5.4,5.37,5.8
1/10/1966,5.53,5.35,5.52
1/11/1966,5.76,5.32,5.49
1/12/1966,5.4,4.96,5
1/1/1967,4.94,4.72,4.61
1/2/1967,5,4.56,4.57
1/3/1967,4.53,4.26,4.19
1/4/1967,4.05,3.84,3.9
1/5/1967,3.94,3.6,3.89
1/6/1967,3.98,3.54,4.16
1/7/1967,3.79,4.21,4.9
1/8/1967,3.9,4.27,5.05
1/9/1967,3.99,4.42,5.1
