Date,Hsi_Close,Date,Dji_Close
1/3/2006,14944.77,1/3/2006,10847.41
1/4/2006,15200.06,1/4/2006,10880.15
1/5/2006,15271.13,1/5/2006,10882.15
1/6/2006,15344.44,1/6/2006,10959.31
1/9/2006,15547.43,1/9/2006,11011.9
1/10/2006,15569.91,1/10/2006,11011.58
1/11/2006,15650.88,1/11/2006,11043.44
1/12/2006,15719.37,1/12/2006,10962.36
1/13/2006,15787.97,1/13/2006,10959.87
1/16/2006,15777.72,1/17/2006,10896.32
1/17/2006,15576.2,1/18/2006,10854.86
1/18/2006,15481.21,1/19/2006,10880.71
1/19/2006,15670.42,1/20/2006,10667.39
1/20/2006,15662.08,1/23/2006,10688.77
1/23/2006,15464.77,1/24/2006,10712.22
1/24/2006,15530.57,1/25/2006,10709.74
1/25/2006,15520.39,1/26/2006,10809.47
1/26/2006,15520.07,1/27/2006,10907.21
1/27/2006,15753.14,1/30/2006,10899.92
2/1/2006,15742.3,1/31/2006,10864.86
2/2/2006,15691.69,2/1/2006,10953.95
2/3/2006,15429.73,2/2/2006,10851.98
2/6/2006,15548.06,2/3/2006,10793.62
2/7/2006,15517.01,2/6/2006,10798.27
2/8/2006,15373.44,2/7/2006,10749.76
2/9/2006,15413.43,2/8/2006,10858.62
2/10/2006,15425.95,2/9/2006,10883.35
2/13/2006,15312.09,2/10/2006,10919.05
2/14/2006,15420.32,2/13/2006,10892.32
2/15/2006,15423.26,2/14/2006,11028.39
2/16/2006,15450.88,2/15/2006,11058.97
2/17/2006,15475.69,2/16/2006,11120.68
2/20/2006,15598.67,2/17/2006,11115.32
2/21/2006,15627.24,2/21/2006,11069.06
2/22/2006,15635.72,2/22/2006,11137.17
2/23/2006,15812.53,2/23/2006,11069.22
2/24/2006,15856.05,2/24/2006,11061.85
2/27/2006,15949.89,2/27/2006,11097.55
2/28/2006,15918.48,2/28/2006,10993.41
3/1/2006,15818.09,3/1/2006,11053.53
3/2/2006,15882.45,3/2/2006,11025.51
3/3/2006,15802,3/3/2006,11021.59
3/6/2006,15811.83,3/6/2006,10958.59
3/7/2006,15602.36,3/7/2006,10980.69
3/8/2006,15493.09,3/8/2006,11005.74
3/9/2006,15510.13,3/9/2006,10972.28
3/10/2006,15445.05,3/10/2006,11076.34
3/13/2006,15542.07,3/13/2006,11076.02
3/14/2006,15519.76,3/14/2006,11151.34
3/15/2006,15720.36,3/15/2006,11209.77
3/16/2006,15729.04,3/16/2006,11253.24
3/17/2006,15801.66,3/17/2006,11279.65
3/20/2006,15929.95,3/20/2006,11274.53
3/21/2006,15922.75,3/21/2006,11235.47
3/22/2006,15642.81,3/22/2006,11317.43
3/23/2006,15771.17,3/23/2006,11270.29
3/24/2006,15716.46,3/24/2006,11279.97
3/27/2006,15815.87,3/27/2006,11250.11
3/28/2006,15856.58,3/28/2006,11154.54
3/29/2006,15745.11,3/29/2006,11215.7
3/30/2006,15880.69,3/30/2006,11150.7
3/31/2006,15805.04,3/31/2006,11109.32
4/3/2006,16063.75,4/3/2006,11144.94
4/4/2006,16100.09,4/4/2006,11203.85
4/5/2006,16100.09,4/5/2006,11239.55
4/6/2006,16411.13,4/6/2006,11216.5
4/7/2006,16471.78,4/7/2006,11120.04
4/10/2006,16521.59,4/10/2006,11141.33
4/11/2006,16475.81,4/11/2006,11089.63
4/12/2006,16310.76,4/12/2006,11129.97
4/13/2006,16429.45,4/13/2006,11137.65
4/18/2006,16637.53,4/17/2006,11073.78
4/19/2006,16830.44,4/18/2006,11268.77
4/20/2006,16944.34,4/19/2006,11278.77
4/21/2006,16912.15,4/20/2006,11342.89
4/24/2006,16705.67,4/21/2006,11347.45
4/25/2006,16577.77,4/24/2006,11336.32
4/26/2006,16672.66,4/25/2006,11283.25
4/27/2006,16742.85,4/26/2006,11354.49
4/28/2006,16661.3,4/27/2006,11382.51
5/2/2006,16868.04,4/28/2006,11367.14
5/3/2006,17026.98,5/1/2006,11343.29
5/4/2006,17013.93,5/2/2006,11416.44
5/8/2006,17301.79,5/3/2006,11400.28
5/9/2006,17133.99,5/4/2006,11438.86
5/10/2006,17080.59,5/5/2006,11577.74
5/11/2006,17140.78,5/8/2006,11584.54
5/12/2006,16901.85,5/9/2006,11639.77
5/15/2006,16494.84,5/10/2006,11642.65
5/16/2006,16393.11,5/11/2006,11500.73
5/17/2006,16615.55,5/12/2006,11380.99
5/18/2006,16266.52,5/15/2006,11428.77
5/19/2006,16313.36,5/16/2006,11419.89
5/22/2006,15805.52,5/17/2006,11205.61
5/23/2006,15864.56,5/18/2006,11128.29
5/24/2006,15822.64,5/19/2006,11144.06
