"一月 03, 1997",25.59,24.12
"一月 10, 1997",26.3,24.67
"一月 17, 1997",25.42,23.23
"一月 24, 1997",24.4,22.9
"一月 31, 1997",24.24,22.98
"二月 07, 1997",23.49,22.53
"二月 14, 1997",22.21,20.83
"二月 21, 1997",22.18,20.54
"二月 28, 1997",20.83,19.83
"三月 07, 1997",20.77,19.36
"三月 14, 1997",20.64,19.1
"三月 21, 1997",21.72,19.51
"三月 28, 1997",20.83,18.73
"四月 04, 1997",19.76,17.84
"四月 11, 1997",19.38,17.14
"四月 18, 1997",19.65,17.33
"四月 25, 1997",19.85,17.76
"五月 02, 1997",19.99,18.08
"五月 09, 1997",19.94,18.06
"五月 16, 1997",21.45,19.42
"五月 23, 1997",21.43,19.91
"五月 30, 1997",20.9,19.15
"六月 06, 1997",20.12,18.3
"六月 13, 1997",18.88,16.88
"六月 20, 1997",18.93,17.27
"六月 27, 1997",19,17.74
"七月 04, 1997",19.95,18.41
"七月 11, 1997",19.44,18.17
"七月 18, 1997",19.49,18.26
"七月 25, 1997",19.52,18.57
"八月 01, 1997",20.13,18.96
"八月 08, 1997",20.35,19.17
"八月 15, 1997",19.99,18.63
"八月 22, 1997",19.92,18.6
"八月 29, 1997",19.5,17.83
"九月 05, 1997",19.61,18.1
"九月 12, 1997",19.44,18.11
"九月 19, 1997",19.44,18.22
"九月 26, 1997",20.12,18.83
"十月 03, 1997",21.62,20.14
"十月 10, 1997",22.01,20.75
"十月 17, 1997",21.03,19.55
"十月 24, 1997",21,19.56
"十月 31, 1997",20.92,19.27
"十一月 07, 1997",20.65,19.14
"十一月 14, 1997",20.66,19.59
"十一月 21, 1997",19.81,19.2
"十一月 28, 1997",19.3,18.85
"十二月 05, 1997",18.69,17.92
"十二月 12, 1997",18.44,17.32
"十二月 19, 1997",18.31,17.04
"十二月 26, 1997",18.31,17.06
"一月 02, 1998",17.58,16
"一月 09, 1998",16.83,15.38
"一月 16, 1998",16.47,14.92
"一月 23, 1998",16.02,14.72
"一月 30, 1998",17.3,15.61
"二月 06, 1998",16.65,14.92
"二月 13, 1998",16.25,14.36
"二月 20, 1998",16.03,13.68
"二月 27, 1998",15.3,13.32
"三月 06, 1998",15.23,13.13
"三月 13, 1998",14.4,12.31
"三月 20, 1998",14.04,11.95
"三月 27, 1998",16.42,14.61
"四月 03, 1998",15.98,13.79
"四月 10, 1998",15.55,12.99
"四月 17, 1998",15.53,13.55
"四月 24, 1998",14.5,13.64
"五月 01, 1998",15.71,14
"五月 08, 1998",15.48,13.95
"五月 15, 1998",15.03,14.39
"五月 22, 1998",13.91,14.56
"五月 29, 1998",14.99,14.45
"六月 05, 1998",15.02,13.63
"六月 12, 1998",13.42,12.46
"六月 19, 1998",12.04,10.92
"六月 26, 1998",14.17,11.96
"七月 03, 1998",14.41,11.87
"七月 10, 1998",13.94,11.66
"七月 17, 1998",14.48,12.04
"七月 24, 1998",13.89,12.12
"七月 31, 1998",14.24,12.61
"八月 07, 1998",13.83,12.1
"八月 14, 1998",13.12,11.39
"八月 21, 1998",13.33,12
"八月 28, 1998",13.65,12.16
"九月 04, 1998",13.98,12.42
"九月 11, 1998",14.45,12.61
"九月 18, 1998",14.88,12.92
"九月 25, 1998",15.78,14.55
"十月 02, 1998",15.83,14.43
"十月 09, 1998",15.02,13.61
"十月 16, 1998",14.21,12.45
"十月 23, 1998",13.81,11.74
"十月 30, 1998",14.34,12.35
"十一月 06, 1998",14.13,11.9
"十一月 13, 1998",13.63,11.36
"十一月 20, 1998",12.4,10.56
"十一月 27, 1998",11.62,10.56
"十二月 04, 1998",11.28,9.85
"十二月 11, 1998",11.16,9.44
"十二月 18, 1998",11.5,9.89
"十二月 25, 1998",11,9.78
"一月 01, 1999",11.83,10.41
"一月 08, 1999",12.67,10.94
"一月 15, 1999",12.62,11.36
"一月 22, 1999",12.26,11.04
"一月 29, 1999",12.46,11.11
"二月 05, 1999",12.16,10.52
"二月 12, 1999",11.81,9.88
"二月 19, 1999",11.66,10.07
"二月 26, 1999",12.36,10.58
"三月 05, 1999",12.9,10.79
"三月 12, 1999",14.19,11.67
"三月 19, 1999",14.91,12.75
"三月 26, 1999",15.55,13.57
"四月 02, 1999",16.61,14.62
"四月 09, 1999",16.45,14.13
"四月 16, 1999",16.77,14.7
"四月 23, 1999",17.93,16.07
"四月 30, 1999",18.23,16.18
"五月 07, 1999",18.62,16.48
"五月 14, 1999",18,15.22
"五月 21, 1999",17.18,14.55
"五月 28, 1999",17.07,14.9
"六月 04, 1999",16.77,14.49
"六月 11, 1999",17.96,16.13
"六月 18, 1999",18.21,16.12
"六月 25, 1999",18.05,16.03
"七月 02, 1999",19.04,16.88
"七月 09, 1999",19.87,18.62
"七月 16, 1999",20.21,19.25
"七月 23, 1999",19.89,19.28
"七月 30, 1999",20.62,19.76
"八月 06, 1999",20.54,19.44
"八月 13, 1999",21.44,20.21
"八月 20, 1999",21.62,20.8
"八月 27, 1999",21.21,20.25
"九月 03, 1999",21.88,20.9
"九月 10, 1999",23,21.94
"九月 17, 1999",24.28,23.08
"九月 24, 1999",24.53,23.02
"十月 01, 1999",24.58,23.25
"十月 08, 1999",22.72,22.42
"十月 15, 1999",22.54,21.78
"十月 22, 1999",22.65,21.79
"十月 29, 1999",22.5,21.82
"十一月 05, 1999",22.72,22.22
"十一月 12, 1999",24.22,24.77
"十一月 19, 1999",26.05,25.19
"十一月 26, 1999",27.35,25.82
"十二月 03, 1999",25.46,25.35
"十二月 10, 1999",26.19,25.74
"十二月 17, 1999",26.2,25.44
"十二月 24, 1999",26.07,25.41
"十二月 31, 1999",26.34,25.28
"一月 07, 2000",24.95,23.64
"一月 14, 2000",26.27,24.34
"一月 21, 2000",29.37,26.38
"一月 28, 2000",28.34,26.99
"二月 04, 2000",28.08,27.33
"二月 11, 2000",28.83,27.63
"二月 18, 2000",29.87,27.81
"二月 25, 2000",30.1,27.76
"三月 03, 2000",31.07,29.49
"三月 10, 2000",32.14,30.3
"三月 17, 2000",31.29,28.39
"三月 24, 2000",27.99,25.47
"三月 31, 2000",26.92,24.33
"四月 07, 2000",25.6,23.28
"四月 14, 2000",24.87,21.66
"四月 21, 2000",26.66,22.99
"四月 28, 2000",25.95,23.28
"五月 05, 2000",26.75,24.96
"五月 12, 2000",28.7,26.9
"五月 19, 2000",29.88,28.67
"五月 26, 2000",29.46,29.05
"六月 02, 2000",29.98,29.64
"六月 09, 2000",29.79,28.67
"六月 16, 2000",32.45,29.81
"六月 23, 2000",33.55,29.78
"六月 30, 2000",32.12,31.03
"七月 07, 2000",30.4,30.9
"七月 14, 2000",30.44,30.53
"七月 21, 2000",30.65,27.95
"七月 28, 2000",28.02,26.02
"八月 04, 2000",28.5,26.48
"八月 11, 2000",30.14,28.34
"八月 18, 2000",31.82,30.07
"八月 25, 2000",32.46,31.77
"九月 01, 2000",33.08,34.32
"九月 08, 2000",34.42,36.43
"九月 15, 2000",34.7,33.26
"九月 22, 2000",35.49,33.09
"九月 29, 2000",31.13,29.41
"十月 06, 2000",31.27,29.83
"十月 13, 2000",33.9,31.83
"十月 20, 2000",33.48,30.97
"十月 27, 2000",33.92,31.35
"十一月 03, 2000",32.78,30.9
"十一月 10, 2000",33.46,31.59
"十一月 17, 2000",35,33.32
"十一月 24, 2000",35.91,33.46
"十二月 01, 2000",34.1,32.53
"十二月 08, 2000",29.69,28.28
"十二月 15, 2000",29.05,25.94
"十二月 22, 2000",27.38,23.48
"十二月 29, 2000",26.52,22.48
"一月 05, 2001",27.8,24.05
"一月 12, 2001",28.81,25.02
"一月 19, 2001",30.63,25.37
"一月 26, 2001",31.35,27.15
"二月 02, 2001",29.59,27.19
"二月 09, 2001",30.92,29.62
"二月 16, 2001",29.67,27.63
"二月 23, 2001",28.65,26.29
"三月 02, 2001",27.91,25.26
"三月 09, 2001",28.45,25.93
"三月 16, 2001",27.02,24.33
"三月 23, 2001",26.42,23.48
"三月 30, 2001",26.86,24.04
"四月 06, 2001",26.76,24
"四月 13, 2001",28.27,26
"四月 20, 2001",27.89,26.27
"四月 27, 2001",26.99,26.05
"五月 04, 2001",28.36,27.28
"五月 11, 2001",28.12,27.77
"五月 18, 2001",29.08,28.34
"五月 25, 2001",28.92,29.31
"六月 01, 2001",28.44,28.86
"六月 08, 2001",27.98,28.87
"六月 15, 2001",28.9,28.87
"六月 22, 2001",27.09,26.82
"六月 29, 2001",26.37,26.63
"七月 06, 2001",26.87,25.9
"七月 13, 2001",27.07,24.47
"七月 20, 2001",25.26,23.47
"七月 27, 2001",26.5,24.69
"八月 03, 2001",27.1,24.83
"八月 10, 2001",27.87,25.6
"八月 17, 2001",27.52,25.41
"八月 24, 2001",27.25,25.48
"八月 31, 2001",26.84,26.57
"九月 07, 2001",27.38,26.64
"九月 14, 2001",28.22,28.47
"九月 21, 2001",27.09,26.41
"九月 28, 2001",22.35,20.95
"十月 05, 2001",22.6,21.11
"十月 12, 2001",22.66,20.91
"十月 19, 2001",21.92,19.88
"十月 26, 2001",21.78,20.46
"十一月 02, 2001",21.17,19.72
"十一月 09, 2001",20.7,19.31
"十一月 16, 2001",19.61,18.42
"十一月 23, 2001",18.28,18.57
"十一月 30, 2001",19.13,18.8
"十二月 07, 2001",19.47,18.99
"十二月 14, 2001",18.45,18.02
"十二月 21, 2001",19.2,18.74
"十二月 28, 2001",20.94,19.1
"一月 04, 2002",20.8,20.29
"一月 11, 2002",20.54,20.42
"一月 18, 2002",18.61,18.52
"一月 25, 2002",19.21,18.77
"二月 01, 2002",19.71,19.3
"二月 08, 2002",19.97,19.91
"二月 15, 2002",21.18,20.99
"二月 22, 2002",20.7,20.02
"三月 01, 2002",21.43,20.6
"三月 08, 2002",23.31,22.27
"三月 15, 2002",24.4,23.42
"三月 22, 2002",25.25,24.43
"三月 29, 2002",25.86,25.03
"四月 05, 2002",26.99,26.42
"四月 12, 2002",25.24,24.89
"四月 19, 2002",25.54,24.89
"四月 26, 2002",26.46,26.24
"五月 03, 2002",26.88,26.41
"五月 10, 2002",27.27,26.15
"五月 17, 2002",28.43,26.35
"五月 24, 2002",27.18,24.61
"五月 31, 2002",25.22,24
"六月 07, 2002",25.01,22.99
"六月 14, 2002",24.94,23.2
"六月 21, 2002",25.61,24.55
"六月 28, 2002",26.52,25.16
"七月 05, 2002",26.81,25.63
"七月 12, 2002",26.7,25.55
"七月 19, 2002",27.62,26.28
"七月 26, 2002",26.64,25.45
