year mon day ipncongd ipbuseq ipmat
1963 12 1 41.4705 10.9969 27.2477
1964 1 1 41.8779 11.2821 27.461
1964 2 1 41.7149 11.2293 27.8876
1964 3 1 41.5927 11.3667 27.8876
1964 4 1 42.5704 11.6308 28.2076
1964 5 1 42.9778 11.7575 28.4475
1964 6 1 42.6926 11.7998 28.6341
1964 7 1 43.2629 11.9582 28.6874
1964 8 1 42.9778 11.9477 29.274
1964 9 1 42.7334 12.0533 29.7272
1964 10 1 43.3037 11.9582 29.1673
1964 11 1 43.4259 12.3596 30.0738
1964 12 1 43.6703 12.5815 30.4471
1965 1 1 44.2814 12.5604 30.7937
1965 2 1 44.1999 12.7716 30.9003
1965 3 1 44.2406 12.9407 31.3802
1965 4 1 44.1184 13.0569 31.7002
1965 5 1 44.3628 13.247 31.8335
1965 6 1 44.4036 13.4372 32.2067
1965 7 1 44.2813 13.6696 32.5
1965 8 1 44.4036 13.6696 32.8199
1965 9 1 44.9739 13.9337 32.5533
1965 10 1 45.0961 14.1344 32.8999
1965 11 1 45.3813 14.3985 32.7666
1965 12 1 45.3405 14.7048 33.1399
1966 1 1 45.5849 15.0006 33.5931
1966 2 1 45.8294 14.9583 33.9664
1966 3 1 46.1553 15.2541 34.5795
1966 4 1 46.0738 15.3703 34.4996
1966 5 1 46.359 15.571 34.8995
1966 6 1 46.6034 15.7189 35.1128
1966 7 1 46.8885 15.9725 35.1928
1966 8 1 46.97 16.0359 35.486
1966 9 1 47.0922 16.2154 35.8326
1966 10 1 47.4589 16.1626 35.9926
1966 11 1 47.744 15.9302 35.4594
1966 12 1 47.7847 16.152 35.4594
1967 1 1 48.8923 16.0384 35.3105
1967 2 1 48.5049 16.0581 34.639
1967 3 1 48.5362 16.0313 33.9983
1967 4 1 49.5356 16.0191 34.3221
1967 5 1 48.467 16.0791 33.9461
1967 6 1 48.8711 15.9921 33.876
1967 7 1 48.5191 15.6705 33.8633
1967 8 1 48.9644 15.9597 34.8703
1967 9 1 49.1672 15.8779 34.6432
1967 10 1 49.7373 15.7462 35.0807
1967 11 1 50.1237 16.1601 35.471
1967 12 1 50.4617 16.321 35.9379
1968 1 1 50.145 16.3922 36.0958
1968 2 1 50.2031 16.4072 36.0981
1968 3 1 50.6838 16.5493 36.2361
1968 4 1 50.552 16.4673 36.5128
1968 5 1 50.6752 16.7149 37.0685
1968 6 1 50.9153 16.6771 37.2182
1968 7 1 50.9279 16.5158 37.2553
1968 8 1 51.5088 16.6634 36.9763
1968 9 1 51.5665 16.8424 37.1278
1968 10 1 51.7299 16.9872 37.1712
1968 11 1 52.1644 16.9994 37.7651
1968 12 1 51.5327 17.1785 37.9623
1969 1 1 51.9748 17.4184 38.1489
1969 2 1 52.597 17.4114 38.5595
1969 3 1 52.9884 17.5842 38.7406
1969 4 1 52.4657 17.7651 38.8529
1969 5 1 52.2001 17.6462 38.761
1969 6 1 52.3051 17.8238 39.2803
1969 7 1 53.6131 18.0045 39.2987
1969 8 1 53.2336 17.9336 39.7008
1969 9 1 52.8814 18.1112 39.8046
1969 10 1 52.7894 18.1631 39.7968
1969 11 1 53.0797 17.7469 39.5874
1969 12 1 53.312 17.681 39.3552
1970 1 1 53.2038 17.4346 38.4508
1970 2 1 53.6268 17.5085 38.2347
1970 3 1 53.3326 17.5439 38.1449
1970 4 1 53.6421 17.5358 37.8811
1970 5 1 54.0255 17.518 37.7556
1970 6 1 53.7976 17.4117 37.5856
